entity,field_id,field_name,field_type,field_code,enum_count,filled_count,fill_rate_pct,sample_values,decision,decision_reason
leads,1245577,utm_content,tracking_data,UTM_CONTENT,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245579,utm_medium,tracking_data,UTM_MEDIUM,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245581,utm_campaign,tracking_data,UTM_CAMPAIGN,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245583,utm_source,tracking_data,UTM_SOURCE,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245585,utm_term,tracking_data,UTM_TERM,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245587,utm_referrer,tracking_data,UTM_REFERRER,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245589,roistat,tracking_data,ROISTAT,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245591,referrer,tracking_data,REFERRER,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245593,openstat_service,tracking_data,OPENSTAT_SERVICE,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245595,openstat_campaign,tracking_data,OPENSTAT_CAMPAIGN,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245597,openstat_ad,tracking_data,OPENSTAT_AD,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245599,openstat_source,tracking_data,OPENSTAT_SOURCE,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245601,from,tracking_data,FROM,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245603,gclientid,tracking_data,GCLIENTID,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245605,_ym_uid,tracking_data,_YM_UID,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245607,_ym_counter,tracking_data,_YM_COUNTER,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245609,gclid,tracking_data,GCLID,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245611,yclid,tracking_data,YCLID,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245613,fbclid,tracking_data,FBCLID,0,0,0,,IGNORE,поле не заполнено ни в одной записи
leads,1245675,Дата мероприятия,date,,0,440,4,1760382000 | 1762455600 | 1766602800,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
leads,1245679,Тип мероприятия,multiselect,,10,621,5.6,Свадьба | Другое | Корпоратив,KEEP_RAW,enum-поле — сохранить справочник значений как есть
leads,1245685,Количество гостей,numeric,,0,588,5.3,50 | -1 | 200,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
leads,1245743,Источник лида,select,,10,461,4.2,Инстаграм | Сарафан | Сайт,MAP,узнаваемый бизнес-атрибут — кандидат на маппинг в DMS
leads,1454839,Меню,text,,0,310,2.8,1 | банкет | Банкет,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
leads,1454841,Комментарии,text,,0,993,9,Marry me and wedding | По сертификату дуо 48 дополнительно клас | 27.01.2026 пакет дуо 48 26млн  13.02.202,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
leads,1808711,Причина отказа,select,,10,1772,16.1,Дорого | Не отвечает | Спам,KEEP_RAW,enum-поле — сохранить справочник значений как есть
leads,1895923,Количество комнат,numeric,,0,225,2,38 | 92 | 45,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
leads,1907187,Источник сделки,select,,6,189,1.7,Входящий звонок | Не определили | Meta (таргет),MAP,узнаваемый бизнес-атрибут — кандидат на маппинг в DMS
leads,1907189,Источник (уточнение),select,,5,144,1.3,Рекомендация от клиента | Не требует уточнения | От руководства / команды,MAP,узнаваемый бизнес-атрибут — кандидат на маппинг в DMS
leads,1907193,Провели показ,date,,0,7,0.1,1788980400 | 1787338800 | 1790622000,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
leads,1907195,Причина отказа,select,,10,172,1.6,Дорого | Другая причина | Нецелевой запрос,KEEP_RAW,enum-поле — сохранить справочник значений как есть
leads,1907197,Коммент к отказу,text,,0,172,1.6,попопо | . | не аренда,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
leads,1908201,Тип запроса,select,,3,41,0.4,Квартира | Офис,KEEP_RAW,enum-поле — сохранить справочник значений как есть
leads,1908203,Сколько нужно кв. метров,numeric,,0,41,0.4,60 | 38 | 118,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
leads,1908205,Плановый бюджет,monetary,,0,40,0.4,1800 | 1000 | 1,MAP,узнаваемый бизнес-атрибут — кандидат на маппинг в DMS
leads,1908207,На какой срок планирует,select,,6,40,0.4,на несколько месяцев | на полгода + | Не уточнили,KEEP_RAW,enum-поле — сохранить справочник значений как есть
leads,1908209,Назначили показ,date_time,,0,18,0.2,1787295900 | 1787988660 | 1789456620,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
leads,1908211,Договор с клиентом,file,,0,2,0,[object Object],NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
leads,1908213,Дата оплаты,text,,0,2,0,22.08.2026 | 09.09.2026,NEEDS_DECISION,назначение неочевидно — решение владельца до маппинга/удаления
