pipeline_id,pipeline_name,stage_id,stage_name,sort,normalized_stage,leads_currently_here,leads_ever_reached,ever_reached_availability
10416130,RoofTop Hall (main),82313754,Неразобранное,10,NEW,0,0,PARTIAL
10416130,RoofTop Hall (main),86701234,Переговоры,20,NEGOTIATION,90,294,PARTIAL
10416130,RoofTop Hall (main),85355474,Instagram,30,,515,547,PARTIAL
10416130,RoofTop Hall (main),82601126,КП / презентация,40,OFFER,21,33,PARTIAL
10416130,RoofTop Hall (main),85019690,Показ,50,VIEWING,10,33,PARTIAL
10416130,RoofTop Hall (main),82601130,Согласование договора/сметы,60,CONTRACT,5,11,PARTIAL
10416130,RoofTop Hall (main),82313766,Предполата / бронирование,70,,2,2,PARTIAL
10416130,RoofTop Hall (main),85346514,Отложенный спрос,80,,20,8,PARTIAL
10416130,RoofTop Hall (main),142,Закрытие сделки,10000,CONTRACT,61,29,PARTIAL
10416130,RoofTop Hall (main),143,Закрыто и не реализовано,11000,LOST,9553,5496,PARTIAL
10063610,RoofTOPHall,79799250,Неразобранное,10,NEW,0,0,PARTIAL
10063610,RoofTOPHall,79799254,Новый лид,20,NEW,35,0,PARTIAL
10063610,RoofTOPHall,79799266,КП отправлено,30,OFFER,20,0,PARTIAL
10063610,RoofTOPHall,79799910,Дожим,40,,11,0,PARTIAL
10063610,RoofTOPHall,79799918,Предоплата и бронирование подтверждены,50,LOI,2,0,PARTIAL
10063610,RoofTOPHall,79799930,Закрытия сделки,60,CONTRACT,0,0,PARTIAL
10063610,RoofTOPHall,142,Успешно реализовано,10000,WON,61,29,PARTIAL
10063610,RoofTOPHall,143,Закрыто и не реализовано,11000,LOST,9553,5496,PARTIAL
10681782,Sense48 (main),84174870,Неразобранное,10,NEW,0,0,PARTIAL
10681782,Sense48 (main),84180098,INSTAGRAM неразобранное,20,NEW,6,35,PARTIAL
10681782,Sense48 (main),84174874,Прайс отправлен / Ожидание,30,,0,1,PARTIAL
10681782,Sense48 (main),84174878,Уточнение / Консультация,40,,0,1,PARTIAL
10681782,Sense48 (main),84174882,Назначение визита,50,,0,0,PARTIAL
10681782,Sense48 (main),84174930,Визит состоялся,60,,0,0,PARTIAL
10681782,Sense48 (main),84174934,Бронирование (Предзаказ),70,,0,0,PARTIAL
10681782,Sense48 (main),84174938,Внесена предоплата,80,LOI,0,0,PARTIAL
10681782,Sense48 (main),142,Успешно реализовано,10000,WON,61,29,PARTIAL
10681782,Sense48 (main),143,Закрыто и не реализовано,11000,LOST,9553,5496,PARTIAL
10848598,Piramit apartments,85378170,Неразобранное,10,NEW,0,0,PARTIAL
10848598,Piramit apartments,85449122,База,20,,379,0,PARTIAL
10848598,Piramit apartments,85378178,Переговоры,30,NEGOTIATION,0,0,PARTIAL
10848598,Piramit apartments,85378182,Принимают решение,40,,0,0,PARTIAL
10848598,Piramit apartments,142,Успешно реализовано,10000,WON,61,29,PARTIAL
10848598,Piramit apartments,143,Закрыто и не реализовано,11000,LOST,9553,5496,PARTIAL
11292122,Piramit - Call центр,88539378,Неразобранное,10,NEW,0,0,PARTIAL
11292122,Piramit - Call центр,88539382,Новая заявка,20,NEW,0,0,PARTIAL
11292122,Piramit - Call центр,88539386,Взято в работу,30,,0,1,PARTIAL
11292122,Piramit - Call центр,142,Передали менеджеру,10000,,61,29,PARTIAL
11292122,Piramit - Call центр,143,Заявка закрыта,11000,NEW,9553,5496,PARTIAL
11273034,Piramit - привлечение арендаторов,88403150,Неразобранное,10,NEW,0,0,PARTIAL
11273034,Piramit - привлечение арендаторов,88403154,Новые заявки,20,NEW,0,127,PARTIAL
11273034,Piramit - привлечение арендаторов,88594558,Взято в работу (Недозвон),30,,0,58,PARTIAL
11273034,Piramit - привлечение арендаторов,88403162,Квалифицирован (отправили инфо),40,QUALIFIED,77,157,PARTIAL
11273034,Piramit - привлечение арендаторов,88403166,Назначили показ,50,VIEWING,5,22,PARTIAL
11273034,Piramit - привлечение арендаторов,88403170,Показ провели,60,VIEWING,0,5,PARTIAL
11273034,Piramit - привлечение арендаторов,88403174,Готов к оформлению,70,,0,1,PARTIAL
11273034,Piramit - привлечение арендаторов,142,Успешно реализовано,10000,WON,61,29,PARTIAL
11273034,Piramit - привлечение арендаторов,143,Закрыто и не реализовано,11000,LOST,9553,5496,PARTIAL
11292090,Piramit - услуги арендаторам,88539130,Неразобранное,10,NEW,0,0,PARTIAL
11292090,Piramit - услуги арендаторам,88539138,Есть запрос на услугу,20,,0,1,PARTIAL
11292090,Piramit - услуги арендаторам,88539142,Отправили предложение,30,OFFER,4,4,PARTIAL
11292090,Piramit - услуги арендаторам,88539758,Готов оформить,40,,1,1,PARTIAL
11292090,Piramit - услуги арендаторам,142,Успешно реализовано,10000,WON,61,29,PARTIAL
11292090,Piramit - услуги арендаторам,143,Закрыто и не реализовано,11000,LOST,9553,5496,PARTIAL
10063774,Пост-сервис,79800398,Неразобранное,10,NEW,0,0,PARTIAL
10063774,Пост-сервис,79800402,Мероприятия проведено,20,,6,2,PARTIAL
10063774,Пост-сервис,79800406,Запросили отзыв,30,,1,0,PARTIAL
10063774,Пост-сервис,142,Успешно реализовано,10000,WON,61,29,PARTIAL
10063774,Пост-сервис,143,Закрыто и не реализовано,11000,LOST,9553,5496,PARTIAL
10171538,Sense48,80564458,Неразобранное,10,NEW,0,0,PARTIAL
10171538,Sense48,80564462,Новая сделка,20,NEW,132,0,PARTIAL
10171538,Sense48,80564466,Квалификация лида,30,QUALIFIED,0,0,PARTIAL
10171538,Sense48,80564470,КП / презентация,40,OFFER,5,0,PARTIAL
10171538,Sense48,80564530,Дожим,50,,1,0,PARTIAL
10171538,Sense48,83109602,Предполата / бронирование,60,,4,0,PARTIAL
10171538,Sense48,142,Оплачено,10000,WON,61,29,PARTIAL
10171538,Sense48,143,Закрыто и не реализовано,11000,LOST,9553,5496,PARTIAL
11292150,Piramit - собственники,88539630,Неразобранное,10,NEW,0,0,PARTIAL
11292150,Piramit - собственники,88539634,Новая заявка,20,NEW,0,0,PARTIAL
11292150,Piramit - собственники,88543202,Взято в работу (недозвон),30,,0,0,PARTIAL
11292150,Piramit - собственники,88539638,Ожидаем завершение объекта,40,,38,39,PARTIAL
11292150,Piramit - собственники,88539642,Отправили предложение,50,OFFER,1,1,PARTIAL
11292150,Piramit - собственники,88539794,Готов заключить договор,60,CONTRACT,0,0,PARTIAL
11292150,Piramit - собственники,142,Успешно реализовано,10000,WON,61,29,PARTIAL
11292150,Piramit - собственники,143,Закрыто и не реализовано,11000,LOST,9553,5496,PARTIAL
10848606,Piramit Clients,85378206,Неразобранное,10,NEW,0,0,PARTIAL
10848606,Piramit Clients,87644138,Недозвон,20,,0,153,PARTIAL
10848606,Piramit Clients,85378210,переговоры,30,NEGOTIATION,0,201,PARTIAL
10848606,Piramit Clients,85378218,Принимают решение,40,,0,45,PARTIAL
10848606,Piramit Clients,142,Успешно реализовано,10000,WON,61,29,PARTIAL
10848606,Piramit Clients,143,Закрыто и не реализовано,11000,LOST,9553,5496,PARTIAL
11309210,2026,88659698,Неразобранное,10,NEW,0,0,PARTIAL
11309210,2026,88659702,Новая заявка,20,NEW,1,0,PARTIAL
11309210,2026,88659706,Взято в работу,30,,0,0,PARTIAL
11309210,2026,88659710,Отправили информацию (квал),40,,0,0,PARTIAL
11309210,2026,88660030,Назначили встречу,50,VIEWING,0,0,PARTIAL
11309210,2026,88660034,Провели встречу,60,VIEWING,0,0,PARTIAL
11309210,2026,88660038,Предоставили КП с меню и рассадкой,70,OFFER,0,0,PARTIAL
11309210,2026,88660042,Внёс предоплату (забронировал),80,LOI,0,0,PARTIAL
11309210,2026,142,Провели мероприятие (100% оплата),10000,,61,29,PARTIAL
11309210,2026,143,Закрыто и не реализовано,11000,LOST,9553,5496,PARTIAL
