source_value,origin,leads,won,lost,availability
(не указан),unknown,6802,28,6145,AVAILABLE
SIM не задан,tag,1062,1,1047,AVAILABLE
Instagram,tag,675,0,675,AVAILABLE
RoodTopHall,tag,416,1,371,AVAILABLE
пирамит,tag,379,0,0,AVAILABLE
Инстаграм,custom_field,268,5,180,AVAILABLE
fb1779161643213823,tag,264,2,240,AVAILABLE
fb1264989999077030,tag,164,0,161,AVAILABLE
fb1001984172562794,tag,114,0,103,AVAILABLE
Telegram,custom_field,102,14,73,AVAILABLE
fb1310385900952248,tag,101,0,92,AVAILABLE
fb815911261561421,tag,92,0,92,AVAILABLE
Meta (таргет),custom_field,72,0,40,AVAILABLE
SPA,tag,59,0,3,AVAILABLE
Входящий звонок,custom_field,59,4,51,AVAILABLE
Не определили,custom_field,58,0,50,AVAILABLE
fb1929397461108232,tag,44,0,41,AVAILABLE
fb1588720772929665,tag,38,0,38,AVAILABLE
Таргет,tag,37,0,36,AVAILABLE
fb4498498497141903,tag,30,0,30,AVAILABLE
Переговоры,tag,28,0,0,AVAILABLE
Сарафан,custom_field,27,1,16,AVAILABLE
Отдел продаж,custom_field,22,1,13,AVAILABLE
Сайт,custom_field,19,1,8,AVAILABLE
Организатор,tag,18,0,18,AVAILABLE
Агенство,custom_field,9,1,3,AVAILABLE
fb4209541805973941,tag,9,0,9,AVAILABLE
Elle,custom_field,6,0,1,AVAILABLE
fb2893873680957908,tag,6,0,6,AVAILABLE
Недозвон,tag,6,0,0,AVAILABLE
Рассылка,custom_field,4,0,3,AVAILABLE
Пешеход,custom_field,4,0,4,AVAILABLE
База,custom_field,4,1,0,AVAILABLE
Компания,tag,3,0,3,AVAILABLE
Не требует уточнения,custom_field,3,0,0,AVAILABLE
Рекомендация от клиента,custom_field,1,0,1,AVAILABLE
От руководства / команды,custom_field,1,1,0,AVAILABLE
