pipeline_id,pipeline_name,is_main,stage_id,stage_name,sort
10416130,RoofTop Hall (main),да,82313754,Неразобранное,10
10416130,RoofTop Hall (main),да,86701234,Переговоры,20
10416130,RoofTop Hall (main),да,85355474,Instagram,30
10416130,RoofTop Hall (main),да,82601126,КП / презентация,40
10416130,RoofTop Hall (main),да,85019690,Показ,50
10416130,RoofTop Hall (main),да,82601130,Согласование договора/сметы,60
10416130,RoofTop Hall (main),да,82313766,Предполата / бронирование,70
10416130,RoofTop Hall (main),да,85346514,Отложенный спрос,80
10416130,RoofTop Hall (main),да,142,Закрытие сделки,10000
10416130,RoofTop Hall (main),да,143,Закрыто и не реализовано,11000
10063610,RoofTOPHall,нет,79799250,Неразобранное,10
10063610,RoofTOPHall,нет,79799254,Новый лид,20
10063610,RoofTOPHall,нет,79799266,КП отправлено,30
10063610,RoofTOPHall,нет,79799910,Дожим,40
10063610,RoofTOPHall,нет,79799918,Предоплата и бронирование подтверждены,50
10063610,RoofTOPHall,нет,79799930,Закрытия сделки,60
10063610,RoofTOPHall,нет,142,Успешно реализовано,10000
10063610,RoofTOPHall,нет,143,Закрыто и не реализовано,11000
10681782,Sense48 (main),нет,84174870,Неразобранное,10
10681782,Sense48 (main),нет,84180098,INSTAGRAM неразобранное,20
10681782,Sense48 (main),нет,84174874,Прайс отправлен / Ожидание,30
10681782,Sense48 (main),нет,84174878,Уточнение / Консультация,40
10681782,Sense48 (main),нет,84174882,Назначение визита,50
10681782,Sense48 (main),нет,84174930,Визит состоялся,60
10681782,Sense48 (main),нет,84174934,Бронирование (Предзаказ),70
10681782,Sense48 (main),нет,84174938,Внесена предоплата,80
10681782,Sense48 (main),нет,142,Успешно реализовано,10000
10681782,Sense48 (main),нет,143,Закрыто и не реализовано,11000
10848598,Piramit apartments,нет,85378170,Неразобранное,10
10848598,Piramit apartments,нет,85449122,База,20
10848598,Piramit apartments,нет,85378178,Переговоры,30
10848598,Piramit apartments,нет,85378182,Принимают решение,40
10848598,Piramit apartments,нет,142,Успешно реализовано,10000
10848598,Piramit apartments,нет,143,Закрыто и не реализовано,11000
11292122,Piramit - Call центр,нет,88539378,Неразобранное,10
11292122,Piramit - Call центр,нет,88539382,Новая заявка,20
11292122,Piramit - Call центр,нет,88539386,Взято в работу,30
11292122,Piramit - Call центр,нет,142,Передали менеджеру,10000
11292122,Piramit - Call центр,нет,143,Заявка закрыта,11000
11273034,Piramit - привлечение арендаторов,нет,88403150,Неразобранное,10
11273034,Piramit - привлечение арендаторов,нет,88403154,Новые заявки,20
11273034,Piramit - привлечение арендаторов,нет,88594558,Взято в работу (Недозвон),30
11273034,Piramit - привлечение арендаторов,нет,88403162,Квалифицирован (отправили инфо),40
11273034,Piramit - привлечение арендаторов,нет,88403166,Назначили показ,50
11273034,Piramit - привлечение арендаторов,нет,88403170,Показ провели,60
11273034,Piramit - привлечение арендаторов,нет,88403174,Готов к оформлению,70
11273034,Piramit - привлечение арендаторов,нет,142,Успешно реализовано,10000
11273034,Piramit - привлечение арендаторов,нет,143,Закрыто и не реализовано,11000
11292090,Piramit - услуги арендаторам,нет,88539130,Неразобранное,10
11292090,Piramit - услуги арендаторам,нет,88539138,Есть запрос на услугу,20
11292090,Piramit - услуги арендаторам,нет,88539142,Отправили предложение,30
11292090,Piramit - услуги арендаторам,нет,88539758,Готов оформить,40
11292090,Piramit - услуги арендаторам,нет,142,Успешно реализовано,10000
11292090,Piramit - услуги арендаторам,нет,143,Закрыто и не реализовано,11000
10063774,Пост-сервис,нет,79800398,Неразобранное,10
10063774,Пост-сервис,нет,79800402,Мероприятия проведено,20
10063774,Пост-сервис,нет,79800406,Запросили отзыв,30
10063774,Пост-сервис,нет,142,Успешно реализовано,10000
10063774,Пост-сервис,нет,143,Закрыто и не реализовано,11000
10171538,Sense48,нет,80564458,Неразобранное,10
10171538,Sense48,нет,80564462,Новая сделка,20
10171538,Sense48,нет,80564466,Квалификация лида,30
10171538,Sense48,нет,80564470,КП / презентация,40
10171538,Sense48,нет,80564530,Дожим,50
10171538,Sense48,нет,83109602,Предполата / бронирование,60
10171538,Sense48,нет,142,Оплачено,10000
10171538,Sense48,нет,143,Закрыто и не реализовано,11000
11292150,Piramit - собственники,нет,88539630,Неразобранное,10
11292150,Piramit - собственники,нет,88539634,Новая заявка,20
11292150,Piramit - собственники,нет,88543202,Взято в работу (недозвон),30
11292150,Piramit - собственники,нет,88539638,Ожидаем завершение объекта,40
11292150,Piramit - собственники,нет,88539642,Отправили предложение,50
11292150,Piramit - собственники,нет,88539794,Готов заключить договор,60
11292150,Piramit - собственники,нет,142,Успешно реализовано,10000
11292150,Piramit - собственники,нет,143,Закрыто и не реализовано,11000
10848606,Piramit Clients,нет,85378206,Неразобранное,10
10848606,Piramit Clients,нет,87644138,Недозвон,20
10848606,Piramit Clients,нет,85378210,переговоры,30
10848606,Piramit Clients,нет,85378218,Принимают решение,40
10848606,Piramit Clients,нет,142,Успешно реализовано,10000
10848606,Piramit Clients,нет,143,Закрыто и не реализовано,11000
